aa: /ɑː/ aa
disobey: /ˌdɪsəˈbeɪ/ 不服从
disorder: /dɪsˈɔːrdər/ 紊乱，失调
disorientated: /dɪsˈɔːriɛntɪd/ 迷失方向的
disoriented: /dɪsˈɔːriɛntɪd/ 迷失方向的
disorienting: /dɪsˈɔːriɛntɪŋ/ 使迷失方向的
disparate: /ˈdɪspərət/ 截然不同的
disparity: /dɪˈspærəti/ 差异
dispatch: /dɪˈspætʃ/ 发送
dispatched: /dɪˈspætʃt/ 发送了的
dispatcher: /dɪˈspætʃər/ 调度员
dispatchers: /dɪˈspætʃərz/ 调度员（复数）
dispatches: /dɪˈspætʃɪz/ 发送（复数）
dispatching: /dɪˈspætʃɪŋ/ 正在发送的
dispensing: /dɪˈspɛnsɪŋ/ 分配
disperse: /dɪˈspɜːrs/ 分散
dispersed: /dɪˈspɜːrst/ 分散的
displaced: /dɪsˈpleɪst/ 被取代的，流离失所的
displacement: /dɪsˈpleɪsmənt/ 取代，位移
display: /dɪˈspleɪ/ 展示
displayed: /dɪˈspleɪd/ 展示的
displaying: /dɪˈspleɪɪŋ/ 正在展示的
displays: /dɪˈspleɪz/ 展示（复数）
displeased: /dɪsˈpliːzd/ 不高兴的
displeasure: /dɪsˈplɛʒər/ 不悦
disposal: /dɪˈspoʊzl/ 处置
dispose: /dɪˈspoʊz/ 处理
dispossessed: /ˌdɪspəˈzɛst/ 被剥夺的
disproportion: /ˌdɪsprəˈpɔːrʃn/ 不成比例
disproportionately: /ˌdɪsprəˈpɔːrʃənətli/ 不成比例地
disputation: /ˌdɪspjʊˈteɪʃn/ 争论
dispute: /dɪˈspjuːt/ 争论
disputed: /dɪˈspjuːtɪd/ 有争议的
disputes: /dɪˈspjuːts/ 争论（复数）
disqualification: /dɪsˌkwɑːlɪfɪˈkeɪʃn/ 取消资格
disrupt: /dɪsˈrʌpt/ 扰乱
disrupted: /dɪsˈrʌptɪd/ 扰乱了的
disrupting: /dɪsˈrʌptɪŋ/ 正在扰乱的
disruption: /dɪsˈrʌpʃn/ 扰乱
disruptive: /dɪsˈrʌptɪv/ 破坏性的
dissatisfaction: /ˌdɪsˌsætɪsˈfækʃn/ 不满
dissatisfied: /ˌdɪsˈsætɪsfaɪd/ 不满意的
disseminated: /dɪˈsɛmɪneɪtɪd/ 传播的
dissension: /dɪˈsɛnʃn/ 意见不合
dissent: /dɪˈsɛnt/ 不同意
dissenter: /dɪˈsɛntər/ 反对者
dissidents: /ˈdɪsɪdənts/ 持不同政见者（复数）
dissimilar: /dɪˈsɪmɪlər/ 不同的
dissipate: /ˈdɪsɪpeɪt/ 消散
dissipating: /ˈdɪsɪpeɪtɪŋ/ 正在消散的
dissolution: /ˌdɪsəˈluːʃn/ 解散
dissolve: /dɪˈzɑːlv/ 溶解
dissolved: /dɪˈzɑːlvd/ 溶解的
dissolving: /dɪˈzɑːlvɪŋ/ 正在溶解的
dissonance: /ˈdɪsənəns/ 不和谐
dissuade: /dɪˈsweɪd/ 劝阻
dissuaded: /dɪˈsweɪdɪd/ 劝阻了的
dist: /dɪst/ 距离（缩写）
distance: /ˈdɪstəns/ 距离
distances: /ˈdɪstənsɪz/ 距离（复数）
distant: /ˈdɪstənt/ 遥远的
distilling: /dɪˈstɪlɪŋ/ 蒸馏的
distinct: /dɪˈstɪŋkt/ 明显的
distinction: /dɪˈstɪŋkʃn/ 区别
distinctions: /dɪˈstɪŋkʃnz/ 区别（复数）
distinctive: /dɪˈstɪŋktɪv/ 独特的
distinctively: /dɪˈstɪŋktɪvli/ 独特地
distinctly: /dɪˈstɪŋktli/ 明显地
distinguish: /dɪˈstɪŋɡwɪʃ/ 区分
distinguished: /dɪˈstɪŋɡwɪʃt/ 杰出的
distort: /dɪˈstɔːrt/ 扭曲
distorted: /dɪˈstɔːrtɪd/ 扭曲的
distorting: /dɪˈstɔːrtɪŋ/ 正在扭曲的
distortion: /dɪˈstɔːrʃn/ 扭曲
distorts: /dɪˈstɔːrts/ 扭曲（第三人称单数）
distract: /dɪˈstrækt/ 分散注意力
distracted: /dɪˈstræktɪd/ 分心的
distracting: /dɪˈstræktɪŋ/ 令人分心的
distraction: /dɪˈstrækʃn/ 分心
distractions: /dɪˈstrækʃnz/ 分心（复数）
distressingly: /dɪˈstrɛsɪŋli/ 令人痛苦地
distribs: /dɪstrɪbz/ 分销商（缩写）
distribute: /dɪˈstrɪbjuːt/ 分发
distributed: /dɪˈstrɪbjuːtɪd/ 分发的
distributing: /dɪˈstrɪbjuːtɪŋ/ 正在分发的
distribution: /ˌdɪstrɪˈbjuːʃn/ 分发
distributions: /ˌdɪstrɪˈbjuːʃnz/ 分发（复数）
distributors: /dɪˈstrɪbjuːtərz/ 分销商（复数）
district: /ˈdɪstrɪkt/ 区域
districts: /ˈdɪstrɪkts/ 区域（复数）
distrust: /dɪsˈtrʌst/ 不信任
distrusted: /dɪsˈtrʌstɪd/ 不信任的
disturbance: /dɪˈstɜːrbəns/ 骚乱
disturbances: /dɪˈstɜːrbənsɪz/ 骚乱（复数）
disturbing: /dɪˈstɜːrbɪŋ/ 令人不安的
disunited: /ˌdɪsjuːˈnaɪtɪd/ 不团结的
disunity: /dɪsˈjuːnəti/ 不团结
ditched: /dɪtʃt/ 抛弃的
ditches: /ˈdɪtʃɪz/ 沟渠（复数）
ditto: /ˈdɪtoʊ/ 同上
div: /dɪv/ 除法，部门（缩写）
dive: /daɪv/ 跳水
dived: /daɪvd/ 跳水了
diverged: /daɪˈvɜːrdʒd/ 分叉的
diverging: /daɪˈvɜːrdʒɪŋ/ 正在分叉的
diverse: /daɪˈvɜːrs/ 多样的
diversified: /daɪˈvɜːrsɪfaɪd/ 多样化的
diversion: /daɪˈvɜːrʒn/ 转移
diversionary: /daɪˈvɜːrʒənɛri/ 转移注意力的
diversions: /daɪˈvɜːrʒnz/ 转移（复数）
diversity: /daɪˈvɜːrsəti/ 多样性
divert: /daɪˈvɜːrt/ 转移
diverted: /daɪˈvɜːrtɪd/ 转移的
diverticulitis: /ˌdaɪvɜːrtɪkjʊˈlaɪtɪs/ 憩室炎
diverting: /daɪˈvɜːrtɪŋ/ 正在转移的
dives: /daɪvz/ 跳水（复数）
divid: /ˈdɪvɪd/ 除（缩写）
divide: /dɪˈvaɪd/ 分开
divided: /dɪˈvaɪdɪd/ 分开的
dividend: /ˈdɪvɪdɛnd/ 红利
dividends: /ˈdɪvɪdɛndz/ 红利（复数）
divides: /dɪˈvaɪdz/ 分开（第三人称单数）
dividing: /dɪˈvaɪdɪŋ/ 正在分开的
divination: /ˌdɪvɪˈneɪʃn/ 占卜
divine: /dɪˈvaɪn/ 神圣的
divined: /dɪˈvaɪnd/ 预测到的
diving: /ˈdaɪvɪŋ/ 跳水
divinity: /dɪˈvɪnəti/ 神性
diviser: /dɪˈvaɪzər/ 除数
divisible: /dɪˈvɪzəbl/ 可分的
division: /dɪˈvɪʒn/ 分歧，部门
divisions: /dɪˈvɪʒnz/ 分歧，部门（复数）
divisive: /dɪˈvaɪsɪv/ 造成分裂的
divisor: /dɪˈvaɪzər/ 除数
divorce: /dɪˈvɔːrs/ 离婚
divorced: /dɪˈvɔːrst/ 离婚的
divot: /ˈdɪvət/ 草皮
dizzying: /ˈdɪziɪŋ/ 令人头晕的
dkes: /diːˈkeɪz/ 不明
dll: /diː el el/ 动态链接库
dlore: /diː lɔːr/ 不明
dlss: /diː el ɛs ɛs/ 深度学习超采样
dmen: /ˈdiːmɛn/ 不明
dmx: /diː ɛm eks/ 数字多路复用
dna: /ˌdiːˌɛnˈeɪ/ DNA
dnieper: /ˈniːpər/ 第聂伯河
dnn: /diː ɛn ɛn/ 深度神经网络
dnxhr: /diː ɛn eks eɪtʃ ɑːr/ 不明
do: /duː/ 做
doable: /ˈduːəbl/ 可行的
doake: /doʊk/ 不明
doas: /doʊ.æs/ 不明
dobat: /ˈdoʊbæt/ 不明
dobbs: /dɑːbz/ 多布斯
dobs: /dɑːbz/ 不明
doc: /dɑːk/ 文档
dock: /dɑːk/ 码头
docket: /ˈdɑːkɪt/ 案卷
docking: /ˈdɑːkɪŋ/ 对接
docks: /dɑːks/ 码头（复数）
dockyard: /ˈdɑːkjɑːrd/ 船坞
dockyards: /ˈdɑːkjɑːrdz/ 船坞（复数）
docomo: /ˈdoʊkoʊmoʊ/ 多科莫（日本电信公司）
doctor: /ˈdɑːktər/ 医生
doctors: /ˈdɑːktərz/ 医生（复数）
doctrine: /ˈdɑːktrɪn/ 教义
document: /ˈdɑːkjʊmənt/ 文件
documentarian: /ˌdɑːkjʊmənˈtɛriən/ 纪录片制作人
documentarians: /ˌdɑːkjʊmənˈtɛriənz/ 纪录片制作人（复数）
documentaries: /ˌdɑːkjʊˈmɛntəriz/ 纪录片（复数）
documentary: /ˌdɑːkjʊˈmɛntəri/ 纪录片
documentation: /ˌdɑːkjʊmɛnˈteɪʃn/ 文档
documented: /ˈdɑːkjʊmɛntɪd/ 记录在案的
documents: /ˈdɑːkjʊmənts/ 文件（复数）
dodecahedron: /ˌdoʊˌdɛkəˈhiːdrən/ 十二面体
dodev: /ˈdoʊdɛv/ 不明
dodge: /dɑːdʒ/ 躲闪
dodgeable: /ˈdɑːdʒəbl/ 可躲闪的
dodging: /ˈdɑːdʒɪŋ/ 躲闪的
doe: /doʊ/ 母鹿
doent: /doʊɛnt/ 不明
doer: /ˈduːər/ 做事者
does: /dʌz/ 做（第三人称单数）
dog: /dɔːɡ/ 狗
dogfight: /ˈdɔːɡfaɪt/ 空战
dogged: /ˈdɔːɡɪd/ 顽强的
dogger: /ˈdɔːɡər/ 不明
dogma: /ˈdɔːɡmə/ 教条
dogs: /dɔːɡz/ 狗（复数）
doia: /dɔɪ.ə/ 不明
doible: /doʊ.ɪbl/ 不明
doing: /ˈduːɪŋ/ 正在做
dois: /dɔɪz/ 不明
doj: /diː oʊ dʒeɪ/ 美国司法部
dol: /dɑːl/ 不明
dolal: /doʊlɑːl/ 不明
dolas: /ˈdoʊləs/ 不明
dolby: /ˈdoʊlbi/ 杜比
dolet: /ˈdoʊlɪt/ 不明
doll: /dɑːl/ 娃娃
dollar: /ˈdɑːlər/ 美元
dollars: /ˈdɑːlərz/ 美元（复数）
dolly: /ˈdɑːli/ 玩偶
dolman: /ˈdɑːlmən/ 斗篷
dolores: /dəˈlɔːrəs/ 多洛雷斯（人名）
dom: /dɑːm/ 圆顶
domain: /doʊˈmeɪn/ 领域
domains: /doʊˈmeɪnz/ 领域（复数）
domes: /doʊmz/ 圆顶（复数）
domestic: /dəˈmɛstɪk/ 国内的
domestically: /dəˈmɛstɪkli/ 国内地
domestication: /dəˌmɛstɪˈkeɪʃn/ 驯化
dominance: /ˈdɑːmɪnəns/ 支配
dominant: /ˈdɑːmɪnənt/ 主要的
dominate: /ˈdɑːmɪneɪt/ 支配
dominated: /ˈdɑːmɪneɪtɪd/ 支配的
dominates: /ˈdɑːmɪneɪts/ 支配（第三人称单数）
domination: /ˌdɑːmɪˈneɪʃn/ 支配
domingo: /dəˈmɪŋɡoʊ/ 多明戈（人名）
dominic: /ˈdɑːmɪnɪk/ 多米尼克（人名）
dominica: /ˌdɑːməˈniːkə/ 多米尼克（地名）
dominion: /dəˈmɪnjən/ 统治
domino: /ˈdɑːmɪnoʊ/ 多米诺骨牌
don: /dɑːn/ 穿上
donald: /ˈdɑːnəld/ 唐纳德（人名）
donated: /ˈdoʊneɪtɪd/ 捐赠的
donating: /ˈdoʊneɪtɪŋ/ 正在捐赠的
done: /dʌn/ 完成的
dong: /dɔːŋ/ 不明
dongan: /ˈdɒŋɡæn/ 不明
donkey: /ˈdɑːŋki/ 驴
donnut: /ˈdɑːnət/ 甜甜圈（变体）
donot: /doʊˈnɑːt/ 不明
donut: /ˈdoʊnʌt/ 甜甜圈
donuts: /ˈdoʊnʌts/ 甜甜圈（复数）
donyo: /ˈdɑːnjoʊ/ 不明
doo: /duː/ 不明
dood: /duːd/ 不明
doom: /duːm/ 厄运
doomed: /duːmd/ 注定的
doomen: /duːmɛn/ 不明
doomin: /duːmɪn/ 不明
doonan: /ˈduːnən/ 不明
doop: /duːp/ 不明
door: /dɔːr/ 门
doore: /dɔːr/ 不明
doors: /dɔːrz/ 门（复数）
doorstep: /ˈdɔːrstep/ 门阶
dop: /dɑːp/ 兴奋剂
dops: /dɑːps/ 兴奋剂（复数）
dorchester: /ˈdɔːrtʃɛstər/ 多切斯特（地名）
dorcy: /ˈdɔːrsi/ 多西（人名）
dorda: /ˈdɔːrdə/ 不明
dorgon: /ˈdɔːrɡən/ 多尔衮（人名）
doris: /ˈdɔːrɪs/ 多丽丝（人名）
dorm: /dɔːrm/ 宿舍
dormatory: /ˈdɔːrmətɔːri/ 宿舍
dornhouse: /ˈdɔːrnhaʊs/ 不明
dorth: /dɔːrθ/ 不明
dorvan: /ˈdɔːrvən/ 不明
dost: /dɔːst/ 不明
dostyle: /ˈdɑːstaɪl/ 不明
dot: /dɑːt/ 点
dots: /dɑːts/ 点（复数）
dotted: /ˈdɑːtɪd/ 点缀的
dou: /duː/ 不明
double: /ˈdʌbl/ 双倍的
doubled: /ˈdʌbld/ 加倍的
doubles: /ˈdʌblz/ 双倍（复数）
doubling: /ˈdʌblɪŋ/ 加倍
doubt: /daʊt/ 怀疑
doubtful: /ˈdaʊtfʊl/ 怀疑的
doubting: /ˈdaʊtɪŋ/ 怀疑的
doubts: /daʊts/ 怀疑（复数）
doug: /dʌɡ/ 道格（人名）
dough: /doʊ/ 面团
doughnut: /ˈdoʊnʌt/ 甜甜圈
douglas: /ˈdʌɡləs/ 道格拉斯（人名）
doused: /daʊst/ 浇湿的
dousei: /daʊˈseɪ/ 不明
dow: /daʊ/ 下落
down: /daʊn/ 向下
downey: /ˈdaʊni/ 唐尼（人名）
downfall: /ˈdaʊnfɔːl/ 垮台
downhill: /ˌdaʊnˈhɪl/ 下坡的
downing: /ˈdaʊnɪŋ/ 击落
download: /ˈdaʊnloʊd/ 下载
downloaded: /ˈdaʊnloʊdɪd/ 下载了的
downloading: /ˈdaʊnloʊdɪŋ/ 正在下载的
downloads: /ˈdaʊnloʊdz/ 下载（复数）
downplayed: /ˌdaʊnˈpleɪd/ 轻描淡写的
downright: /ˈdaʊnraɪt/ 完全的
downscale: /ˌdaʊnˈskeɪl/ 缩小规模
downside: /ˈdaʊnsaɪd/ 缺点
downsides: /ˈdaʊnsaɪdz/ 缺点（复数）
downstream: /ˌdaʊnˈstriːm/ 下游的
downtown: /ˌdaʊnˈtaʊn/ 市中心
downturn: /ˈdaʊntɜːrn/ 下降
downturns: /ˈdaʊntɜːrnz/ 下降（复数）
downward: /ˈdaʊnwərd/ 向下的
downwards: /ˈdaʊnwərdz/ 向下
doyi: /ˈdoʊiː/ 不明
dozen: /ˈdʌzn/ 一打
dozens: /ˈdʌznz/ 许多
dpi: /ˌdiːˈpiːˈaɪ/ 每英寸点数
dpor: /diː piː ɔːr/ 不明
dr: /ˌdiːˈɑːr/ 博士，医生（缩写）
dra: /drɑː/ 不明
draa: /drɑː/ 不明
dracula: /ˈdrækjʊlə/ 德古拉
draft: /dræft/ 草稿
drafted: /ˈdræftɪd/ 起草的
drag: /dræɡ/ 拖
draged: /dræɡd/ 拖拽的（非标准）
dragged: /dræɡd/ 拖拽的
dragging: /ˈdræɡɪŋ/ 正在拖拽的
dragon: /ˈdræɡən/ 龙
dragons: /ˈdræɡənz/ 龙（复数）
drain: /dreɪn/ 排出
drained: /dreɪnd/ 排干的
draining: /ˈdreɪnɪŋ/ 正在排水的
drains: /dreɪnz/ 排水沟（复数）
drake: /dreɪk/ 德雷克（人名）
drama: /ˈdrɑːmə/ 戏剧
dramatic: /drəˈmætɪk/ 戏剧性的
dramatically: /drəˈmætɪkli/ 戏剧性地
drank: /dræŋk/ 喝（过去式）
drape: /dreɪp/ 覆盖
drastic: /ˈdræstɪk/ 极端的
drastically: /ˈdræstɪkli/ 极端地
draw: /drɔː/ 画，拉
drawback: /ˈdrɔːbæk/ 缺点
drawers: /drɔːrz/ 抽屉
drawing: /ˈdrɔːɪŋ/ 绘画
drawings: /ˈdrɔːɪŋz/ 绘画（复数）
drawn: /drɔːn/ 拉的
drawway: /ˈdrɔːweɪ/ 不明
dre: /dreɪ/ 不明
dread: /drɛd/ 恐惧
dreadful: /ˈdrɛdfʊl/ 可怕的
dream: /driːm/ 梦想
dreamed: /driːmd/ 梦想的（过去式）
dreamer: /ˈdriːmər/ 梦想家
dreaming: /ˈdriːmɪŋ/ 正在做梦的
dreamlike: /ˈdriːmlaɪk/ 梦幻般的
dreams: /driːmz/ 梦想（复数）
dreary: /ˈdrɪəri/ 沉闷的
dreference: /ˈdɛfrɛns/ 不明
dresden: /ˈdrɛzdən/ 德累斯顿
dresler: /ˈdrɛzlər/ 不明
dress: /drɛs/ 连衣裙
dressed: /drɛst/ 穿衣服的
dresses: /ˈdrɛsɪz/ 连衣裙（复数）
dressing: /ˈdrɛsɪŋ/ 穿着
drew: /druː/ 拉，画（过去式）
dries: /draɪz/ 干（第三人称单数）
drift: /drɪft/ 漂流
drifting: /ˈdrɪftɪŋ/ 正在漂流的
drill: /drɪl/ 钻孔
drin: /drɪn/ 不明
drink: /drɪŋk/ 喝
drinking: /ˈdrɪŋkɪŋ/ 正在喝的
drinks: /drɪŋks/ 饮料
dripping: /ˈdrɪpɪŋ/ 滴落的
drippings: /ˈdrɪpɪŋz/ 滴落物
drist: /drɪst/ 不明
drive: /draɪv/ 开车
driven: /ˈdrɪvən/ 被驱动的
driver: /ˈdraɪvər/ 司机
driverless: /ˈdraɪvərləs/ 无人驾驶的
drivers: /ˈdraɪvərz/ 司机（复数）
drives: /draɪvz/ 开车（复数）
driving: /ˈdraɪvɪŋ/ 正在开车的
drizzle: /ˈdrɪzl/ 毛毛雨
drogo: /ˈdroʊɡoʊ/ 卓戈（人名）


drome: /droʊm/ (n.)跑道，赛道
drone: /droʊn/ (n.)无人机，嗡嗡声；(v.)嗡嗡作响，单调地说
drop: /drɒp/ (v.)落下，下降，放弃；(n.)滴，下降，少量
droplets: /ˈdrɒplɪts/ (n.)小滴，飞沫
dropout: /ˈdrɒpaʊt/ (n.)辍学者，退学者
dropped: /drɒpt/ (v.)(drop的过去式和过去分词) 落下，下降
dropper: /ˈdrɒpər/ (n.)滴管，投递者
dropping: /ˈdrɒpɪŋ/ (n.)下降，滴落；(v.)(drop的现在分词) 落下，下降
droppings: /ˈdrɒpɪŋz/ (n.)粪便，排泄物
drops: /drɒps/ (n.)滴，少量；(v.)(drop的第三人称单数) 落下，下降
drought: /draʊt/ (n.)干旱，旱灾
drove: /droʊv/ (v.)(drive的过去式) 驾驶，驱赶；(n.)畜群，人群
droves: /droʊvz/ (n.)大群，大量
drown: /draʊn/ (v.)淹死，淹没
drowned: /draʊnd/ (v.)(drown的过去式和过去分词) 淹死，淹没
drowning: /ˈdraʊnɪŋ/ (v.)(drown的现在分词) 淹死，淹没
druadan: /ˈdruːədæn/ (n.)（奇幻小说中的）德鲁伊人
drug: /drʌɡ/ (n.)药物，毒品；(v.)给…用药
drum: /drʌm/ (n.)鼓；(v.)击鼓，发出连续的声响
drummed: /drʌmd/ (v.)(drum的过去式和过去分词) 击鼓，发出连续的声响
drumming: /ˈdrʌmɪŋ/ (n.)击鼓；(v.)(drum的现在分词) 击鼓，发出连续的声响
drunkard: /ˈdrʌŋkərd/ (n.)醉汉，酒鬼
dry: /draɪ/ (adj.)干的，干燥的；(v.)使干燥
ds: /diːˈɛs/ (n.) （计算机用语）数据集合
dshk: /diːˈɛs eɪtʃ keɪ/ （枪械名称）
dualism: /ˈdjuːəlɪzəm/ (n.)二元论，双重性
duality: /djuːˈælɪti/ (n.)二重性，双重性
dubbed: /dʌbd/ (v.)(dub的过去式和过去分词) 命名，授予称号，配音
dubious: /ˈdjuːbiəs/ (adj.)可疑的，不确定的
dublin: /ˈdʌblɪn/ (n.)都柏林（爱尔兰首都）
duche: /duːʃ/ (n.) 公爵夫人
duchies: /ˈdʌtʃɪz/ (n.) 公爵领地，公国
duck: /dʌk/ (n.)鸭子；(v.)躲避，迅速低下头
dude: /duːd/ (n.)老兄，伙计
dudley: /ˈdʌdli/ (n.)达德利（人名，地名）
due: /djuː/ (adj.)到期的，应得的；(n.)应得物，会费
duel: /ˈdjuːəl/ (n.)决斗；(v.)决斗
dueling: /ˈdjuːəlɪŋ/ (n.)决斗；(v.)(duel的现在分词) 决斗
duets: /djuːˈɛts/ (n.)二重唱，二重奏
dug: /dʌɡ/ (v.)(dig的过去式和过去分词) 挖，掘
dugouts: /ˈdʌɡaʊts/ (n.)（体育比赛的）队员席，防空壕
duke: /djuːk/ (n.)公爵
dukes: /djuːks/ (n.)公爵们
dull: /dʌl/ (adj.)迟钝的，乏味的，阴沉的
dump: /dʌmp/ (v.)倾倒，丢弃；(n.)垃圾场
dumping: /ˈdʌmpɪŋ/ (n.)倾倒，抛售；(v.)(dump的现在分词) 倾倒，丢弃
dumpling: /ˈdʌmplɪŋ/ (n.)饺子，面团
dumplings: /ˈdʌmplɪŋz/ (n.)饺子，面团（复数）
dumpster: /ˈdʌmpstər/ (n.)大型垃圾箱
dun: /dʌn/ (adj.)灰褐色的；(n.)灰褐色
dunadan: /ˈduːnədæn/ （《魔戒》中的）努曼诺尔人
dung: /dʌŋ/ (n.)粪便
dungeon: /ˈdʌndʒən/ (n.)地牢
dunk: /dʌŋk/ (v.)浸，泡；(n.)扣篮
dunker: /ˈdʌŋkər/ (n.)扣篮者，浸入者
dunkirk: /ˈdʌnkɜːrk/ (n.)敦刻尔克（法国城市）
dunland: /ˈdʌnlænd/ (n.) 顿兰德（《魔戒》中的地名）
dunlendings: /ˈdʌnlɛndɪŋz/ (n.) 顿兰德人
duns: /dʌnz/ (n.) 灰褐色；(v.)(dun的第三人称单数) 催讨
duon: /duːˈɒn/ (n.) （越南姓氏）段
duong: /duːˈɒŋ/ (n.) （越南姓氏）杨
duplicate: /ˈdjuːplɪkeɪt/ (v.)复制；(n.)副本；(adj.)复制的
duplicated: /ˈdjuːplɪkeɪtɪd/ (v.)(duplicate的过去式和过去分词) 复制
duplicates: /ˈdjuːplɪkeɪts/ (n.)副本；(v.)(duplicate的第三人称单数) 复制
duplicating: /ˈdjuːplɪkeɪtɪŋ/ (v.)(duplicate的现在分词) 复制
duplication: /ˌdjuːplɪˈkeɪʃn/ (n.)复制，副本
duplicity: /djuːˈplɪsɪti/ (n.)欺骗，口是心非
dur: /dʊr/ (n.) （音乐术语）大调
duran: /duˈræn/ （人名，乐队名）
durango: /duˈræŋɡoʊ/ (n.) 杜兰戈 (地名，人名)
duration: /djʊˈreɪʃn/ (n.)持续时间，期间
during: /ˈdjʊrɪŋ/ (prep.)在…期间
dust: /dʌst/ (n.)灰尘；(v.)掸去灰尘
dusted: /ˈdʌstɪd/ (v.)(dust的过去式和过去分词) 掸去灰尘
dusting: /ˈdʌstɪŋ/ (n.)掸灰；(v.)(dust的现在分词) 掸去灰尘
dusty: /ˈdʌsti/ (adj.)多尘的，灰蒙蒙的
dut: /dʌt/ (n.) （计算机用语）被测设备
dutch: /dʌtʃ/ (adj.)荷兰的；(n.)荷兰人
duties: /ˈdjuːtɪz/ (n.)职责，义务
duty: /ˈdjuːti/ (n.)职责，义务
duug: /duːɡ/ (n.) （网络用语）恶搞
duuk: /duːk/ （人名）
duuke: /duːk/ （人名）
dwalin: /ˈdwɑːlɪn/ （《霍比特人》中的）德瓦林
dwan: /dwɑːn/ （人名）
dwarf: /dwɔːrf/ (n.)矮人；(v.)使显得矮小
dwarfed: /dwɔːrft/ (v.)(dwarf的过去式和过去分词) 使显得矮小
dwarfs: /dwɔːrfs/ (n.)矮人（复数）
dwarven: /ˈdwɔːrvən/ (adj.)矮人的
dwarves: /dwɔːrvz/ (n.)矮人（复数）
dwelling: /ˈdwɛlɪŋ/ (n.)住宅，住处
dwellings: /ˈdwɛlɪŋz/ (n.)住宅，住处（复数）
dwelt: /dwɛlt/ (v.)(dwell的过去式和过去分词) 居住，存在
dwen: /dwɛn/ （人名）
dwes: /dwɛs/ （人名）
dwight: /dwaɪt/ (n.)德怀特（人名）
dwindled: /ˈdwɪndld/ (v.)(dwindle的过去式和过去分词) 减少，缩小
dwindling: /ˈdwɪndlɪŋ/ (adj.)逐渐减少的；(v.)(dwindle的现在分词) 减少，缩小
dwiti: /ˈdwiːtiː/ (n.) （印度教）二
dws: /diːˈdʌbljuːˈɛs/ (n.) （计算机用语）数据仓库系统
dx: /diːˈɛks/ (n.) （医学）诊断
dye: /daɪ/ (v.)染色；(n.)染料
dyer: /ˈdaɪər/ (n.)染色工人
dying: /ˈdaɪɪŋ/ (adj.)垂死的；(v.)(die的现在分词) 死
dylan: /ˈdɪlən/ (n.)迪伦（人名）
dynamic: /daɪˈnæmɪk/ (adj.)动态的，有活力的
dynamically: /daɪˈnæmɪkli/ (adv.)动态地，有活力地
dynamics: /daɪˈnæmɪks/ (n.)动力学，动态
dynamite: /ˈdaɪnəmaɪt/ (n.)炸药
dynamo: /ˈdaɪnəmoʊ/ (n.)发电机
dynastic: /daɪˈnæstɪk/ (adj.)王朝的
dynastical: /daɪˈnæstɪkəl/ (adj.)王朝的
dynasties: /ˈdɪnəstiz/ (n.)王朝（复数）
dynasty: /ˈdɪnəsti/ (n.)王朝
dystopia: /dɪsˈtoʊpiə/ (n.)反乌托邦
dystopian: /dɪsˈtoʊpiən/ (adj.)反乌托邦的
ea: /iːˈeɪ/ （缩写）
eaasu: /iːˈeɪˈeɪˈɛs juː/ （缩写）
each: /iːtʃ/ (pron.)每个；(adj.)每个的；(adv.)每个
eager: /ˈiːɡər/ (adj.)渴望的，热切的
eagle: /ˈiːɡəl/ (n.)鹰
eagles: /ˈiːɡəlz/ (n.)鹰（复数）
eaglet: /ˈiːɡlɪt/ (n.)小鹰
ean: /iːˈæn/ (n.) 英语名字
earbuds: /ˈɪrbʌdz/ (n.)耳机
earl: /ɜːrl/ (n.)伯爵
earlier: /ˈɜːrliər/ (adv.)更早地；(adj.)更早的
earliest: /ˈɜːrlɪɪst/ (adj.)最早的，最先的
early: /ˈɜːrli/ (adj.)早的；(adv.)早地
earn: /ɜːrn/ (v.)赚取，获得
earned: /ɜːrnd/ (v.)(earn的过去式和过去分词) 赚取，获得
earners: /ˈɜːrnərz/ (n.)赚钱的人
earnest: /ˈɜːrnɪst/ (adj.)认真的，诚挚的
earning: /ˈɜːrnɪŋ/ (n.)收入，工资；(v.)(earn的现在分词) 赚取，获得
earns: /ɜːrnz/ (v.)(earn的第三人称单数) 赚取，获得
earpicks: /ˈɪrpɪks/ (n.)挖耳勺
earring: /ˈɪrɪŋ/ (n.)耳环
earrings: /ˈɪrɪŋz/ (n.)耳环（复数）
ears: /ɪrz/ (n.)耳朵（复数）
earth: /ɜːrθ/ (n.)地球，泥土
earthquake: /ˈɜːrθkweɪk/ (n.)地震
earthquakes: /ˈɜːrθkweɪks/ (n.)地震（复数）
earthworks: /ˈɜːrθwɜːrks/ (n.)土方工程，防御工事
earthworms: /ˈɜːrθwɜːrmz/ (n.)蚯蚓
earthy: /ˈɜːrθi/ (adj.)泥土的，朴实的
ease: /iːz/ (n.)轻松，安逸；(v.)减轻，缓解
eased: /iːzd/ (v.)(ease的过去式和过去分词) 减轻，缓解
easier: /ˈiːziər/ (adj.)更容易的
easiest: /ˈiːzɪɪst/ (adj.)最容易的
easily: /ˈiːzɪli/ (adv.)容易地
easing: /ˈiːzɪŋ/ (n.)减轻，缓解；(v.)(ease的现在分词) 减轻，缓解
easings: /ˈiːzɪŋz/ (n.)减轻，缓解（复数）
east: /iːst/ (n.)东；(adj.)东方的；(adv.)向东
easter: /ˈiːstər/ (n.)复活节
